,Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),whether he/she donated blood in March 2007
314,0.12162162162162163,0.0,0.0,0.07291666666666667,0.0
10,0.05405405405405406,0.4489795918367347,0.4489795918367347,0.5833333333333334,0.0
71,0.02702702702702703,0.061224489795918366,0.061224489795918366,0.14583333333333334,0.0
213,0.05405405405405406,0.0,0.0,0.020833333333333332,0.0
608,0.05405405405405406,0.0,0.0,0.020833333333333332,0.0
274,0.05405405405405406,0.08163265306122448,0.08163265306122448,0.5833333333333334,0.0
52,0.02702702702702703,0.10204081632653061,0.10204081632653061,0.20833333333333334,0.0
692,0.1891891891891892,0.0,0.0,0.125,0.0
473,0.1891891891891892,0.04081632653061224,0.04081632653061224,0.84375,0.0
394,0.21621621621621623,0.061224489795918366,0.061224489795918366,0.3958333333333333,0.0
233,0.13513513513513514,0.14285714285714285,0.14285714285714285,0.3854166666666667,0.0
4,0.013513513513513514,0.46938775510204084,0.46938775510204084,0.78125,0.0
511,0.02702702702702703,0.20408163265306123,0.20408163265306123,0.25,0.0
48,0.02702702702702703,0.02040816326530612,0.02040816326530612,0.0,0.0
733,0.3108108108108108,0.0,0.0,0.21875,0.0
160,0.02702702702702703,0.0,0.0,0.0,0.0
660,0.20270270270270271,0.08163265306122448,0.08163265306122448,0.3229166666666667,0.0
746,0.527027027027027,0.0,0.0,0.3854166666666667,0.0
686,0.17567567567567569,0.12244897959183673,0.12244897959183673,0.7708333333333334,0.0
690,0.1891891891891892,0.0,0.0,0.125,0.0
359,0.28378378378378377,0.30612244897959184,0.30612244897959184,0.6458333333333334,0.0
446,0.3108108108108108,0.02040816326530612,0.02040816326530612,0.25,0.0
142,0.05405405405405406,0.04081632653061224,0.04081632653061224,0.14583333333333334,0.0
326,0.02702702702702703,0.02040816326530612,0.02040816326530612,0.40625,0.0
24,0.12162162162162163,0.16326530612244897,0.16326530612244897,0.14583333333333334,0.0
266,0.04054054054054054,0.02040816326530612,0.02040816326530612,0.21875,0.0
483,0.3108108108108108,0.0,0.0,0.21875,0.0
682,0.14864864864864866,0.02040816326530612,0.02040816326530612,0.23958333333333334,0.0
398,0.21621621621621623,0.14285714285714285,0.14285714285714285,0.7708333333333334,0.0
595,0.04054054054054054,0.08163265306122448,0.08163265306122448,0.375,0.0
628,0.02702702702702703,0.08163265306122448,0.08163265306122448,0.6354166666666666,0.0
167,0.02702702702702703,0.0,0.0,0.0,0.0
738,0.3108108108108108,0.0,0.0,0.21875,0.0
496,0.5135135135135135,0.0,0.0,0.375,0.0
665,0.14864864864864866,0.0,0.0,0.09375,0.0
307,0.14864864864864866,0.04081632653061224,0.04081632653061224,0.21875,0.0
334,0.21621621621621623,0.02040816326530612,0.02040816326530612,0.14583333333333334,0.0
421,0.21621621621621623,0.02040816326530612,0.02040816326530612,0.2604166666666667,0.0
745,0.3108108108108108,0.04081632653061224,0.04081632653061224,0.625,0.0
676,0.1891891891891892,0.04081632653061224,0.04081632653061224,0.25,0.0
248,0.14864864864864866,0.02040816326530612,0.02040816326530612,0.09375,0.0
687,0.21621621621621623,0.10204081632653061,0.10204081632653061,0.5,0.0
238,0.02702702702702703,0.061224489795918366,0.061224489795918366,0.4270833333333333,0.0
492,0.3108108108108108,0.061224489795918366,0.061224489795918366,0.8854166666666666,0.0
735,0.3108108108108108,0.0,0.0,0.21875,0.0
597,0.05405405405405406,0.10204081632653061,0.10204081632653061,0.4270833333333333,0.0
92,0.05405405405405406,0.02040816326530612,0.02040816326530612,0.020833333333333332,0.0
378,0.1891891891891892,0.0,0.0,0.125,0.0
341,0.3108108108108108,0.7551020408163265,0.7551020408163265,1.0,0.0
407,0.21621621621621623,0.0,0.0,0.14583333333333334,0.0
406,0.21621621621621623,0.0,0.0,0.14583333333333334,0.0
443,0.14864864864864866,0.04081632653061224,0.04081632653061224,0.7708333333333334,0.0
381,0.1891891891891892,0.0,0.0,0.125,0.0
251,0.02702702702702703,0.10204081632653061,0.10204081632653061,0.7604166666666666,0.0
7,0.013513513513513514,0.22448979591836735,0.22448979591836735,0.34375,0.0
204,0.14864864864864866,0.16326530612244897,0.16326530612244897,0.375,0.0
254,0.16216216216216217,0.24489795918367346,0.24489795918367346,0.59375,0.0
386,0.1891891891891892,0.0,0.0,0.125,0.0
354,0.21621621621621623,0.061224489795918366,0.061224489795918366,0.2708333333333333,0.0
611,0.05405405405405406,0.0,0.0,0.020833333333333332,0.0
427,0.1891891891891892,0.08163265306122448,0.08163265306122448,0.75,0.0
344,0.14864864864864866,0.0,0.0,0.09375,0.0
704,0.21621621621621623,0.0,0.0,0.14583333333333334,0.0
477,0.3108108108108108,0.0,0.0,0.21875,0.0
671,0.21621621621621623,0.061224489795918366,0.061224489795918366,0.2708333333333333,0.0
267,0.14864864864864866,0.14285714285714285,0.14285714285714285,0.4583333333333333,0.0
467,0.28378378378378377,0.061224489795918366,0.061224489795918366,0.5208333333333334,0.0
249,0.14864864864864866,0.02040816326530612,0.02040816326530612,0.09375,0.0
546,0.0945945945945946,0.2653061224489796,0.2653061224489796,0.4791666666666667,0.0
431,0.12162162162162163,0.02040816326530612,0.02040816326530612,0.5208333333333334,0.0
68,0.05405405405405406,0.12244897959183673,0.12244897959183673,0.23958333333333334,0.0
232,0.05405405405405406,0.0,0.0,0.020833333333333332,0.0
498,0.5405405405405406,0.0,0.0,0.3958333333333333,0.0
729,0.3108108108108108,0.04081632653061224,0.04081632653061224,0.3854166666666667,0.0
464,0.28378378378378377,0.0,0.0,0.19791666666666666,0.0
216,0.05405405405405406,0.0,0.0,0.020833333333333332,0.0
155,0.02702702702702703,0.0,0.0,0.0,0.0
158,0.02702702702702703,0.0,0.0,0.0,0.0
658,0.14864864864864866,0.04081632653061224,0.04081632653061224,0.25,0.0
371,0.1891891891891892,0.04081632653061224,0.04081632653061224,0.3020833333333333,0.0
453,0.28378378378378377,0.0,0.0,0.19791666666666666,0.0
298,0.1891891891891892,0.02040816326530612,0.02040816326530612,0.125,0.0
636,0.05405405405405406,0.08163265306122448,0.08163265306122448,0.5833333333333334,0.0
626,0.12162162162162163,0.16326530612244897,0.16326530612244897,0.5416666666666666,0.0
146,0.08108108108108109,0.04081632653061224,0.04081632653061224,0.125,0.0
337,0.14864864864864866,0.12244897959183673,0.12244897959183673,0.6458333333333334,0.0
188,0.10810810810810811,0.2857142857142857,0.2857142857142857,0.78125,0.0
173,0.02702702702702703,0.0,0.0,0.0,0.0
46,0.02702702702702703,0.16326530612244897,0.16326530612244897,0.3541666666666667,0.0
217,0.05405405405405406,0.0,0.0,0.020833333333333332,0.0
